日期,新增确诊病例-湖北省,新增确诊病例-武汉市,新增死亡病例-湖北省,新增死亡病例-武汉市,新增治愈出院-湖北省,新增治愈出院-武汉市,累计确诊病例-湖北省,累计确诊病例-武汉市,累计死亡病例-湖北省,累计死亡病例-武汉市,累计治愈出院-湖北省,累计治愈出院-武汉市,现有在院治疗-湖北省,在院重症病例-湖北省,在院危重症病例-湖北省,现有疑似病例-湖北省,当日新增疑似病例-湖北省,当日排除疑似病例-湖北省,集中隔离疑似病例病例-湖北省,追踪到密切接触者-湖北省,已解除医学观察-湖北省,尚在接受医学观察-湖北省,新增无症状感染者-湖北省,当日转为确诊病例无症状感染者-湖北省,当日解除隔离无症状感染者-湖北省,尚在医学观察无症状感染者-湖北省,累计确诊病例-武汉市,累计确诊病例-黄石市,累计确诊病例-十堰市,累计确诊病例-襄阳市,累计确诊病例-宜昌市,累计确诊病例-荆州市,累计确诊病例-荆门市,累计确诊病例-鄂州市,累计确诊病例-孝感市,累计确诊病例-黄冈市,累计确诊病例-咸宁市,累计确诊病例-随州市,累计确诊病例-恩施州,累计确诊病例-仙桃市,累计确诊病例-天门市,累计确诊病例-潜江市,累计确诊病例-神农架林区,累计确诊病例-监狱,累计治愈出院-武汉市,累计治愈出院-黄石市,累计治愈出院-十堰市,累计治愈出院-襄阳市,累计治愈出院-宜昌市,累计治愈出院-荆州市,累计治愈出院-荆门市,累计治愈出院-鄂州市,累计治愈出院-孝感市,累计治愈出院-黄冈市,累计治愈出院-咸宁市,累计治愈出院-随州市,累计治愈出院-恩施州,累计治愈出院-仙桃市,累计治愈出院-天门市,累计治愈出院-潜江市,累计治愈出院-神农架林区,累计治愈出院-监狱,累计死亡病例-武汉市,累计死亡病例-黄石市,累计死亡病例-十堰市,累计死亡病例-襄阳市,累计死亡病例-宜昌市,累计死亡病例-荆州市,累计死亡病例-荆门市,累计死亡病例-鄂州市,累计死亡病例-孝感市,累计死亡病例-黄冈市,累计死亡病例-咸宁市,累计死亡病例-随州市,累计死亡病例-恩施州,累计死亡病例-仙桃市,累计死亡病例-天门市,累计死亡病例-潜江市,累计死亡病例-神农架林区,累计死亡病例-监狱,备注,来源
2020/1/20,72,60,2,2,0,0,270,,6,,25,25,239,51,12,,,,,1070,739,331,,,,,258,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200121_2013871.shtml
2020/1/21,105,105,3,3,3,3,375,,9,,28,28,338,65,23,,,,,1181,755,426,,,,,363,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200122_2014327.shtml
2020/1/22,69,62,8,8,0,0,444,,17,,28,28,399,71,24,,,,,2556,863,1693,,,,,425,0,0,0,0,6,1,0,0,12,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200123_2014520.shtml
2020/1/23,105,70,7,6,3,3,549,495,24,,31,31,494,106,23,,,,,3653,877,2776,,,,,495,0,1,0,1,8,8,0,22,12,0,0,0,2,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200124_2014626.shtml
2020/1/24,180,77,15,15,1,1,729,572,39,38,32,32,658,100,57,,,,,5682,971,4711,,,,,572,0,5,0,1,10,21,1,26,64,0,5,11,10,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200125_2014855.shtml
2020/1/25,323,46,13,7,10,8,1052,618,52,45,42,40,,129,,,,,,7989,1085,6904,,,,,618,31,20,2,20,33,38,1,55,122,43,36,17,11,5,0,0,0,40,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,45,1,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200126_2015056.shtml
2020/1/26,371,80,24,18,2,2,1423,698,76,63,44,42,,221,69,,,,,10394,1291,9103,,,,,698,36,40,36,31,47,90,20,100,154,64,52,25,12,13,5,0,0,42,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,63,1,0,0,1,2,3,0,1,4,0,0,0,0,0,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200127_2015307.shtml
2020/1/27,1291,892,24,22,,,2714,1590,100,85,47,,2567,563,127,,,,,16904,,15559,,,,,1590,53,65,70,51,71,114,57,173,213,91,70,38,27,23,7,1,0,44,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,85,1,0,0,1,2,3,0,1,4,0,0,0,0,2,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200128_2015612.shtml
2020/1/28,840,315,25,19,,,3554,1905,125,104,80,,3349,671,228,,,,,22095,,20366,,,,,1905,86,88,131,63,101,142,84,274,324,112,116,51,32,34,8,3,0,77,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,104,1,0,0,1,2,4,1,3,5,0,0,0,0,3,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200129_2015923.shtml
2020/1/29,1032,356,37,25,10,7,4586,2261,162,129,90,,4334,711,277,,,,,28780,,26632,,,,,2261,113,119,163,117,151,191,123,399,496,130,143,66,55,44,10,5,0,84,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,129,1,0,0,1,3,4,2,6,12,0,0,0,0,3,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200130_2016305.shtml
