date,Country/Territory/Area,Total confirmed cases,Total deaths,Transmission classification,Days since last reported case,Total cases with travel history to China,Total cases with possible or confirmed transmission outside of China,Likely place of exposure: China,Likely place of exposure: Outside reporting country and outside China,Likely place of exposure: In reporting country,Total cases with site of transmission under investigation
2020/01/21,Japan,1,,,,,,,,,
2020/01/21,Republic of Korea,1,,,,,,,,,
2020/01/21,Thailand,2,,,,,,,,,
2020/01/22,Japan,1,,,,,,,,,
2020/01/22,Republic of Korea,1,,,,,,,,,
2020/01/22,Thailand,2,,,,,,,,,
2020/01/23,Japan,1,,,,,,,,,
2020/01/23,Republic of Korea,1,,,,,,,,,
2020/01/23,Thailand,4,,,,,,,,,
2020/01/23,United States of America,1,,,,,,,,,
2020/01/24,Japan,1,,,,,,,,,
2020/01/24,Republic of Korea,2,,,,,,,,,
2020/01/24,Viet Nam,2,,,,,,,,,
2020/01/24,Republic of Singapore,1,,,,,,,,,
2020/01/24,Thailand,4,,,,,,,,,
2020/01/24,United States of America,1,,,,,,,,,
2020/01/25,Japan,3,,,,,,,,,
2020/01/25,Republic of Korea,2,,,,,,,,,
2020/01/25,Viet Nam,2,,,,,,,,,
2020/01/25,Republic of Singapore,3,,,,,,,,,
2020/01/25,Australia,3,,,,,,,,,
2020/01/25,Thailand,4,,,,,,,,,
2020/01/25,Federal Democratic Republic of Nepal,1,,,,,,,,,
2020/01/25,United States of America,2,,,,,,,,,
2020/01/25,French Republic,3,,,,,,,,,
2020/01/26,Japan,3,,,,,,,,,
2020/01/26,Republic of Korea,2,,,,,,,,,
2020/01/26,Viet Nam,2,,,,,,,,,
2020/01/26,Singapore,4,,,,,,,,,
2020/01/26,Australia,4,,,,,,,,,
2020/01/26,Malaysia,3,,,,,,,,,
2020/01/26,Thailand,5,,,,,,,,,
2020/01/26,Nepal,1,,,,,,,,,
2020/01/26,United States of America,2,,,,,,,,,
2020/01/26,France,3,,,,,,,,,
2020/01/27,Japan,4,,,,,,,,,
2020/01/27,Republic of Korea,4,,,,,,,,,
2020/01/27,Viet Nam,2,,,,,,,,,
2020/01/27,Singapore,4,,,,,,,,,
2020/01/27,Australia,4,,,,,,,,,
2020/01/27,Malaysia,4,,,,,,,,,
2020/01/27,Thailand,5,,,,,,,,,
2020/01/27,Nepal,1,,,,,,,,,
2020/01/27,United States of America,5,,,,,,,,,
2020/01/27,Canada,1,,,,,,,,,
2020/01/27,France,3,,,,,,,,,
2020/01/28,Japan,6,,,,,,,,,
2020/01/28,Republic of Korea,4,,,,,,,,,
