ADM0_NAME,DateOfDataEntry,cum_conf,NewCase,Short_Name_ZH
AFGHANISTAN,1582502400000,1,1,阿富汗
AFGHANISTAN,1582588800000,1,0,阿富汗
AFGHANISTAN,1582675200000,1,0,阿富汗
AFGHANISTAN,1582761600000,1,0,阿富汗
AFGHANISTAN,1582848000000,1,0,阿富汗
AFGHANISTAN,1582934400000,1,0,阿富汗
AFGHANISTAN,1583020800000,1,0,阿富汗
AFGHANISTAN,1583107200000,1,0,阿富汗
AFGHANISTAN,1583193600000,1,0,阿富汗
AFGHANISTAN,1583280000000,1,0,阿富汗
ALGERIA,1582675200000,1,1,阿尔及利亚
ALGERIA,1582761600000,1,0,阿尔及利亚
ALGERIA,1582848000000,1,0,阿尔及利亚
ALGERIA,1582934400000,1,0,阿尔及利亚
ALGERIA,1583020800000,1,0,阿尔及利亚
ALGERIA,1583107200000,3,2,阿尔及利亚
ALGERIA,1583193600000,5,2,阿尔及利亚
ALGERIA,1583280000000,5,0,阿尔及利亚
ANDORRA,1583193600000,1,1,安道尔
ANDORRA,1583280000000,1,0,安道尔
ARGENTINA,1583280000000,1,1,阿根廷 
ARMENIA,1583020800000,1,1,亚美尼亚
ARMENIA,1583107200000,1,0,亚美尼亚
ARMENIA,1583193600000,1,0,亚美尼亚
ARMENIA,1583280000000,1,0,亚美尼亚
AUSTRALIA,1579910400000,3,3,澳大利亚
AUSTRALIA,1579996800000,4,1,澳大利亚
AUSTRALIA,1580083200000,4,0,澳大利亚
AUSTRALIA,1580169600000,5,1,澳大利亚
AUSTRALIA,1580256000000,7,2,澳大利亚
AUSTRALIA,1580342400000,7,0,澳大利亚
AUSTRALIA,1580428800000,9,2,澳大利亚
AUSTRALIA,1580515200000,12,3,澳大利亚
AUSTRALIA,1580601600000,12,0,澳大利亚
AUSTRALIA,1580688000000,12,0,澳大利亚
AUSTRALIA,1580774400000,13,1,澳大利亚
AUSTRALIA,1580860800000,14,1,澳大利亚
AUSTRALIA,1580947200000,15,1,澳大利亚
AUSTRALIA,1581033600000,15,0,澳大利亚
AUSTRALIA,1581120000000,15,0,澳大利亚
AUSTRALIA,1581206400000,15,0,澳大利亚
AUSTRALIA,1581292800000,15,0,澳大利亚
AUSTRALIA,1581379200000,15,0,澳大利亚
AUSTRALIA,1581465600000,15,0,澳大利亚
AUSTRALIA,1581552000000,15,0,澳大利亚
AUSTRALIA,1581638400000,15,0,澳大利亚
AUSTRALIA,1581724800000,15,0,澳大利亚
AUSTRALIA,1581811200000,15,0,澳大利亚
AUSTRALIA,1581897600000,15,0,澳大利亚
AUSTRALIA,1581984000000,15,0,澳大利亚
AUSTRALIA,1582070400000,15,0,澳大利亚
AUSTRALIA,1582156800000,15,0,澳大利亚
AUSTRALIA,1582243200000,17,2,澳大利亚
AUSTRALIA,1582329600000,21,4,澳大利亚
AUSTRALIA,1582416000000,22,1,澳大利亚
AUSTRALIA,1582502400000,22,0,澳大利亚
AUSTRALIA,1582588800000,23,1,澳大利亚
AUSTRALIA,1582675200000,23,0,澳大利亚
AUSTRALIA,1582761600000,23,0,澳大利亚
AUSTRALIA,1582848000000,23,0,澳大利亚
AUSTRALIA,1582934400000,25,2,澳大利亚
AUSTRALIA,1583020800000,27,2,澳大利亚
AUSTRALIA,1583107200000,33,6,澳大利亚
AUSTRALIA,1583193600000,33,0,澳大利亚
AUSTRALIA,1583280000000,43,10,澳大利亚
AUSTRIA,1582588800000,2,2,奥地利
AUSTRIA,1582675200000,2,0,奥地利
AUSTRIA,1582761600000,4,2,奥地利
AUSTRIA,1582848000000,5,1,奥地利
AUSTRIA,1582934400000,10,5,奥地利
AUSTRIA,1583020800000,10,0,奥地利
AUSTRIA,1583107200000,10,0,奥地利
AUSTRIA,1583193600000,18,8,奥地利
AUSTRIA,1583280000000,27,9,奥地利
AZERBAIJAN,1582934400000,1,1,阿塞拜疆
AZERBAIJAN,1583020800000,3,2,阿塞拜疆
AZERBAIJAN,1583107200000,3,0,阿塞拜疆
AZERBAIJAN,1583193600000,3,0,阿塞拜疆
AZERBAIJAN,1583280000000,3,0,阿塞拜疆
BAHRAIN,1582502400000,1,1,巴林
BAHRAIN,1582588800000,17,16,巴林
BAHRAIN,1582675200000,26,9,巴林
BAHRAIN,1582761600000,33,7,巴林
BAHRAIN,1582848000000,36,3,巴林
BAHRAIN,1582934400000,38,2,巴林
BAHRAIN,1583020800000,40,2,巴林
BAHRAIN,1583107200000,47,7,巴林
BAHRAIN,1583193600000,49,2,巴林
