截至,累计确诊病例-北京市,累计治愈出院-北京市,累计死亡病例-北京市,累计报告境外输入确诊病例-北京
2020/01/20 18:00,5,0,0,
2020/01/21 18:00,10,0,0,
2020/01/22 18:00,14,0,0,
2020/01/23 14:00,22,0,0,
2020/01/24 00:00,26,0,0,
2020/01/24 17:00,34,1,0,
2020/01/24 20:00,36,1,0,
2020/01/25 17:00,41,2,0,
2020/01/25 23:00,51,2,0,
2020/01/26 08:00,54,2,0,
2020/01/26 18:00,63,2,0,
2020/01/26 21:00,68,2,0,
2020/01/27 09:00,72,2,0,
2020/01/27 20:00,80,2,1,
2020/01/28 12:00,91,2,1,
2020/01/29 12:00,102,4,1,
2020/01/29 20:00,111,4,1,
2020/01/30 08:00,114,4,1,
2020/01/30 20:00,121,5,1,
2020/01/31 00:00,132,5,1,
2020/01/31 14:00,139,5,1,
2020/02/01 00:00,156,5,1,
2020/02/01 12:00,168,9,1,
2020/02/02 00:00,183,9,1,
2020/02/02 12:00,191,9,1,
2020/02/03 00:00,212,12,1,
2020/02/04 00:00,228,23,1,
2020/02/05 00:00,253,24,1,
2020/02/06 00:00,274,31,1,
2020/02/07 00:00,297,33,1,
2020/02/08 00:00,315,34,2,
2020/02/09 00:00,326,37,2,
2020/02/10 00:00,337,44,2,
2020/02/11 00:00,342,48,3,
2020/02/12 00:00,352,56,3,
2020/02/13 00:00,366,68,3,
2020/02/14 00:00,372,79,3,
2020/02/15 00:00,375,97,4,
2020/02/16 00:00,380,105,4,
2020/02/17 00:00,381,114,4,
2020/02/18 00:00,387,122,4,
2020/02/19 00:00,393,145,4,
2020/02/20 00:00,395,153,4,
2020/02/21 00:00,396,169,4,
2020/02/22 00:00,399,178,4,
2020/02/23 00:00,399,189,4,
2020/02/24 00:00,399,198,4,
2020/02/25 00:00,400,215,4,
2020/02/26 00:00,400,235,4,
2020/02/27 00:00,410,248,5,
2020/02/28 00:00,410,257,7,
2020/02/29 00:00,411,271,8,
2020/03/01 00:00,413,276,8,2
2020/03/02 00:00,414,282,8,2
2020/03/03 00:00,414,288,8,2
2020/03/04 00:00,417,294,8,4
2020/03/05 00:00,418,297,8,4
2020/03/06 00:00,422,298,8,8
2020/03/07 00:00,426,303,8,11
2020/03/08 00:00,428,308,8,13
2020/03/09 00:00,428,315,8,13
2020/03/10 00:00,429,320,8,14
2020/03/11 00:00,435,326,8,20
2020/03/12 00:00,435,334,8,20
2020/03/13 00:00,436,342,8,21
2020/03/14 00:00,437,349,8,22
2020/03/15 00:00,442,353,8,27
2020/03/16 00:00,446,358,8,31
2020/03/16 14:00,452,360,8,37
2020/03/17 00:00,455,368,8,40
2020/03/17 12:00,456,369,8,41
2020/03/18 00:00,458,373,8,43
2020/03/18 12:00,469,378,8,54
2020/03/19 00:00,479,379,8,64
2020/03/19 12:00,480,380,8,65
2020/03/20 00:00,485,384,8,70
2020/03/20 12:00,491,390,8,76
2020/03/21 00:00,499,392,8,84
2020/03/21 12:00,504,396,8,89
2020/03/22 00:00,512,398,8,97
2020/03/22 12:00,514,400,8,99
2020/03/23 00:00,522,400,8,107
2020/03/23 12:00,537,401,8,122
2020/03/24 00:00,554,401,8,138
2020/03/24 12:00,558,401,8,142
2020/03/25 00:00,559,401,8,143
2020/03/25 12:00,561,403,8,145
2020/03/26 00:00,565,403,8,149
2020/03/26 12:00,566,406,8,150
2020/03/27 00:00,569,406,8,153
2020/03/27 12:00,569,408,8,153
2020/03/28 00:00,572,409,8,156
2020/03/28 12:00,573,410,8,157
2020/03/29 00:00,576,411,8,160
2020/03/29 12:00,577,412,8,161
2020/03/30 00:00,577,412,8,161
2020/03/30 12:00,577,415,8,161
2020/03/31 00:00,580,416,8,164
2020/03/31 12:00,580,418,8,164
2020/04/01 00:00,580,418,8,164
